 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50
3199,44.306,45.811,29.000,65.500,56.476,33.432,51.548,33.125,44.556,46.108,55.667,44.892,45.000,33.676,52.500,46.038,49.971,45.308,47.676,41.500,62.308,47.688,47.800,48.028,50.688,29.294,41.250,46.294,32.824,38.147,28.423,26.941,23.613,41.161,34.231,52.531,30.871,23.824,23.062,47.810,39.346,43.000,46.875,38.692,44.905,33.794,17.219,36.226,21.353,32.097
3200,47.583,46.189,28.000,71.176,60.429,31.297,52.452,33.750,46.000,47.162,53.905,46.946,41.538,32.784,54.056,47.731,47.971,45.308,49.765,41.500,61.385,49.469,47.750,47.194,51.281,27.912,41.312,46.235,31.647,38.118,25.500,24.941,24.161,42.613,33.885,52.562,30.484,22.971,24.656,48.857,39.269,42.471,42.938,37.808,46.429,32.206,16.875,34.065,21.765,32.710
3201,46.750,46.730,28.346,71.971,58.714,34.595,52.742,32.031,44.139,46.081,53.476,43.432,43.692,33.973,53.722,44.769,47.765,45.192,48.206,40.176,59.308,50.688,44.300,47.056,51.719,28.676,41.812,48.412,30.794,39.206,27.577,27.882,24.935,41.032,33.385,54.469,31.194,22.676,23.969,51.381,39.538,41.676,45.438,38.423,43.810,32.206,17.500,34.097,20.588,32.161
3202,48.556,46.378,27.500,73.971,61.095,35.838,52.677,32.250,44.722,47.054,55.048,44.459,43.231,34.865,52.611,45.308,49.765,43.692,48.294,40.147,58.423,49.562,46.650,45.889,49.594,27.382,38.938,48.882,31.265,37.235,26.808,25.471,24.613,43.194,34.654,54.469,30.452,23.294,25.156,48.714,36.885,43.441,44.500,37.308,43.857,33.118,16.750,35.032,22.324,31.484
3203,44.889,47.622,29.654,68.706,58.333,33.378,55.935,34.125,44.389,46.730,54.190,45.649,44.654,35.838,53.944,46.308,48.176,43.346,49.618,41.941,59.808,50.000,44.750,44.917,50.250,27.618,38.312,47.794,31.853,38.353,27.115,26.059,22.419,43.161,32.962,52.125,29.710,22.294,24.750,49.333,39.462,43.265,43.875,36.692,45.048,32.500,17.219,34.677,21.265,32.032
3204,45.528,46.541,28.077,64.412,55.000,34.189,52.710,33.844,45.444,46.730,55.619,42.568,43.269,35.730,53.694,44.269,48.912,44.885,48.765,39.294,61.115,47.844,48.050,44.944,46.312,26.059,44.125,46.059,32.529,37.353,28.423,27.118,23.935,43.065,34.038,52.625,30.290,23.176,23.438,47.810,41.308,42.647,45.625,36.808,47.476,33.765,17.094,34.065,20.206,31.000
3205,45.639,47.568,30.115,71.412,60.714,34.270,52.645,33.406,44.500,46.162,55.810,41.865,41.423,35.757,51.583,42.769,49.647,44.192,47.412,38.941,59.692,51.875,45.950,47.528,49.156,30.029,37.938,47.824,31.176,38.618,26.923,27.235,24.387,40.742,34.269,55.219,30.387,23.765,24.281,45.857,38.538,43.529,45.938,35.962,44.238,32.529,18.094,32.548,20.618,31.645
3206,44.778,48.081,29.423,73.941,62.857,32.649,53.548,34.188,44.861,46.351,54.571,43.676,45.346,35.135,56.278,46.577,46.971,44.885,46.853,39.735,60.885,49.969,47.350,46.944,50.344,30.853,42.688,46.941,29.676,36.735,27.769,26.029,23.871,42.645,31.769,53.812,28.323,24.412,23.875,47.143,41.654,43.118,43.500,38.346,46.381,32.029,16.219,33.710,20.676,31.968
3207,46.250,48.784,30.115,68.529,57.190,34.162,51.935,33.781,43.583,47.054,53.238,43.676,44.538,34.649,52.833,45.923,48.059,44.885,47.765,39.676,58.923,51.031,47.750,47.361,49.375,30.353,41.938,47.324,32.324,37.735,27.846,26.441,25.097,41.516,34.769,53.344,27.968,23.265,23.750,47.524,40.615,42.765,43.688,36.808,42.429,33.676,16.875,34.323,20.882,30.806
3208,45.222,45.649,28.346,71.147,60.667,34.216,53.129,32.969,43.778,47.459,56.524,43.189,44.385,35.811,52.722,46.192,47.500,44.308,51.735,40.824,61.192,49.500,49.550,46.361,50.750,28.794,42.688,48.059,31.735,38.088,25.423,25.353,24.194,39.968,32.846,52.062,29.355,23.147,23.562,47.667,40.500,43.529,44.062,37.308,43.286,33.029,15.312,33.290,23.206,30.484
3209,45.861,44.865,28.423,75.029,63.333,34.514,50.516,33.781,43.861,45.838,53.714,43.541,42.885,35.054,53.222,43.192,47.912,42.654,51.912,41.353,60.231,49.062,49.200,45.528,49.625,30.735,42.062,45.235,31.824,38.088,29.038,26.559,23.935,39.355,33.038,52.688,29.290,23.735,23.938,42.333,40.038,44.412,45.188,39.615,44.429,32.235,15.469,33.000,21.324,31.484
3210,45.222,44.838,29.269,68.765,57.667,33.649,52.097,33.219,42.361,46.649,54.857,43.351,43.731,34.784,54.833,45.615,47.647,42.192,50.265,42.824,59.577,48.938,47.150,46.611,47.812,31.029,39.250,46.294,31.941,38.706,28.385,27.412,23.258,44.323,33.846,50.344,29.710,22.559,23.781,48.810,40.000,44.647,45.250,37.269,45.190,31.647,16.812,33.645,20.176,30.129
3211,45.556,45.324,30.077,59.147,54.905,35.324,52.774,34.188,43.278,47.054,57.476,42.892,43.423,34.595,54.722,43.308,47.088,46.577,52.118,41.206,54.731,48.531,47.600,46.389,49.844,28.824,40.500,49.000,30.824,38.588,27.654,26.853,27.097,40.323,32.462,54.531,27.548,22.853,25.000,47.048,39.808,40.647,45.125,40.846,42.333,32.235,17.969,34.839,21.706,32.355
3212,44.861,46.378,29.654,57.324,51.905,34.622,51.903,32.531,43.833,47.757,53.238,44.027,40.769,35.000,54.139,43.846,47.824,45.885,52.294,42.794,60.885,48.812,47.450,46.333,48.562,30.294,38.438,46.294,31.029,39.412,26.346,25.324,25.806,41.194,33.846,50.250,28.645,21.294,24.406,49.762,39.308,42.118,43.438,36.269,45.190,33.176,17.688,33.323,20.735,31.452
3213,47.167,46.135,28.385,52.824,49.619,34.432,49.903,34.594,44.222,44.946,54.857,43.568,43.962,35.459,53.750,43.885,48.147,45.808,52.235,41.765,60.654,49.125,46.800,46.028,50.188,30.412,41.688,47.912,30.000,37.441,26.885,27.765,25.452,40.032,33.462,53.781,29.742,22.000,22.938,46.286,39.077,40.235,45.188,36.731,43.048,32.176,18.344,34.032,20.206,31.806
